region,year,rate,latest rate
Ivano-Frankivs'k,2003,-3.2,-4
Ivano-Frankivs'k,2004,-2.2,-4
Ivano-Frankivs'k,2005,-2.7,-4
Ivano-Frankivs'k,2006,-1.9,-4
Ivano-Frankivs'k,2007,-1.9,-4
Ivano-Frankivs'k,2008,-1,-4
Ivano-Frankivs'k,2009,-0.1,-4
Ivano-Frankivs'k,2010,-0.9,-4
Ivano-Frankivs'k,2011,-0.1,-4
Ivano-Frankivs'k,2012,0.2,-4
Ivano-Frankivs'k,2013,-0.5,-4
Ivano-Frankivs'k,2014,-0.6,-4
Ivano-Frankivs'k,2015,-1.5,-4
Ivano-Frankivs'k,2016,-1.9,-4
Ivano-Frankivs'k,2017,-2.9,-4
Ivano-Frankivs'k,2018,-3.5,-4
Ivano-Frankivs'k,2019,-4,-4
Kyiv,1989,1.3,-8.1
Kyiv,1990,-0.8,-8.1
Kyiv,1991,-2.4,-8.1
Kyiv,1992,-3.4,-8.1
Kyiv,1993,-5.1,-8.1
Kyiv,1994,-5.9,-8.1
Kyiv,1995,-6.9,-8.1
Kyiv,1996,-6.9,-8.1
Kyiv,1997,-7.2,-8.1
Kyiv,1998,-7.6,-8.1
Kyiv,1999,-8.5,-8.1
Kyiv,2000,-8.9,-8.1
Kyiv,2001,-9.4,-8.1
Kyiv,2002,-9,-8.1
Kyiv,2003,-8.9,-8.1
Kyiv,2004,-8.6,-8.1
Kyiv,2005,-9,-8.1
Kyiv,2006,-8,-8.1
Kyiv,2007,-7.6,-8.1
Kyiv,2008,-6.2,-8.1
Kyiv,2009,-4.7,-8.1
Kyiv,2010,-5,-8.1
Kyiv,2011,-3.9,-8.1
Kyiv,2012,-3.6,-8.1
Kyiv,2013,-3.9,-8.1
Kyiv,2014,-4.3,-8.1
Kyiv,2015,-4.7,-8.1
Kyiv,2016,-5.3,-8.1
Kyiv,2017,-6.3,-8.1
Kyiv,2018,-7.6,-8.1
Kyiv,2019,-8.1,-8.1
Kirovohrad,1989,-1.1,-9.6
Kirovohrad,1990,-1.9,-9.6
Kirovohrad,1991,-2.8,-9.6
Kirovohrad,1992,-3.8,-9.6
Kirovohrad,1993,-5.6,-9.6
Kirovohrad,1994,-6.4,-9.6
Kirovohrad,1995,-7.7,-9.6
Kirovohrad,1996,-8,-9.6
Kirovohrad,1997,-8.5,-9.6
Kirovohrad,1998,-8.3,-9.6
Kirovohrad,1999,-9.7,-9.6
Kirovohrad,2000,-10.1,-9.6
Kirovohrad,2001,-9.8,-9.6
Kirovohrad,2002,-10,-9.6
Kirovohrad,2003,-9.9,-9.6
Kirovohrad,2004,-9.7,-9.6
Kirovohrad,2005,-10.5,-9.6
Kirovohrad,2006,-8.8,-9.6
Kirovohrad,2007,-8.8,-9.6
Kirovohrad,2008,-8.4,-9.6
Kirovohrad,2009,-6.7,-9.6
Kirovohrad,2010,-7,-9.6
Kirovohrad,2011,-6.1,-9.6
Kirovohrad,2012,-5.5,-9.6
Kirovohrad,2013,-6,-9.6
Kirovohrad,2014,-6.3,-9.6
Kirovohrad,2015,-6.9,-9.6
Kirovohrad,2016,-7.7,-9.6
Kirovohrad,2017,-8.1,-9.6
Kirovohrad,2018,-8.9,-9.6
Kirovohrad,2019,-9.6,-9.6
Luhans'k,1989,0.6,-6.8
Luhans'k,1990,-0.6,-6.8
Luhans'k,1991,-1.7,-6.8
Luhans'k,1992,-4,-6.8
Luhans'k,1993,-5.9,-6.8
Luhans'k,1994,-7.5,-6.8
Luhans'k,1995,-9,-6.8
Luhans'k,1996,-10.1,-6.8
Luhans'k,1997,-10,-6.8
Luhans'k,1998,-9,-6.8
Luhans'k,1999,-10.7,-6.8
Luhans'k,2000,-11.4,-6.8
Luhans'k,2001,-10.9,-6.8
Luhans'k,2002,-10.6,-6.8
Luhans'k,2003,-10.7,-6.8
Luhans'k,2004,-10.6,-6.8
Luhans'k,2005,-10.9,-6.8
Luhans'k,2006,-9.5,-6.8
Luhans'k,2007,-9.1,-6.8
Luhans'k,2008,-8.5,-6.8
Luhans'k,2009,-7.6,-6.8
Luhans'k,2010,-7.8,-6.8
Luhans'k,2011,-7,-6.8
Luhans'k,2012,-6.4,-6.8
Luhans'k,2013,-6.8,-6.8
Luhans'k,2014,,-6.8
Luhans'k,2015,,-6.8
Luhans'k,2016,,-6.8
Luhans'k,2017,,-6.8
Luhans'k,2018,,-6.8
Luhans'k,2019,,-6.8
L'viv,1989,4.7,-4.3
L'viv,1990,3.6,-4.3
L'viv,1991,2.4,-4.3
L'viv,1992,2,-4.3
L'viv,1993,1.1,-4.3
L'viv,1994,0,-4.3
L'viv,1995,-0.8,-4.3
L'viv,1996,-1.1,-4.3
L'viv,1997,-1.9,-4.3
L'viv,1998,-1.5,-4.3
L'viv,1999,-3.3,-4.3
L'viv,2000,-3.3,-4.3
L'viv,2001,-3.7,-4.3
L'viv,2002,-3.8,-4.3
L'viv,2003,-3.8,-4.3
L'viv,2004,-3,-4.3
L'viv,2005,-3.6,-4.3
L'viv,2006,-2.9,-4.3
L'viv,2007,-2.9,-4.3
L'viv,2008,-2.4,-4.3
L'viv,2009,-1.1,-4.3
L'viv,2010,-1.6,-4.3
L'viv,2011,-0.9,-4.3
L'viv,2012,-0.6,-4.3
L'viv,2013,-0.9,-4.3
L'viv,2014,-0.9,-4.3
L'viv,2015,-2,-4.3
L'viv,2016,-2,-4.3
L'viv,2017,-2.8,-4.3
L'viv,2018,-3.8,-4.3
L'viv,2019,-4.3,-4.3
Mykolayiv,1989,2.5,-8.1
Mykolayiv,1990,1.7,-8.1
Mykolayiv,1991,0.2,-8.1
Mykolayiv,1992,-0.8,-8.1
Mykolayiv,1993,-2.4,-8.1
Mykolayiv,1994,-3.7,-8.1
Mykolayiv,1995,-4.9,-8.1
Mykolayiv,1996,-5.5,-8.1
Mykolayiv,1997,-5.6,-8.1
Mykolayiv,1998,-6.4,-8.1
Mykolayiv,1999,-7,-8.1
Mykolayiv,2000,-7.7,-8.1
Mykolayiv,2001,-7.5,-8.1
Mykolayiv,2002,-8.1,-8.1
Mykolayiv,2003,-7.6,-8.1
Mykolayiv,2004,-7.3,-8.1
Mykolayiv,2005,-7.7,-8.1
Mykolayiv,2006,-6.2,-8.1
Mykolayiv,2007,-6.4,-8.1
Mykolayiv,2008,-5.4,-8.1
Mykolayiv,2009,-4.7,-8.1
Mykolayiv,2010,-5,-8.1
Mykolayiv,2011,-3.8,-8.1
Mykolayiv,2012,-3.2,-8.1
Mykolayiv,2013,-3.7,-8.1
Mykolayiv,2014,-4,-8.1
Mykolayiv,2015,-5.5,-8.1
Mykolayiv,2016,-5.8,-8.1
Mykolayiv,2017,-6,-8.1
Mykolayiv,2018,-7.1,-8.1
Mykolayiv,2019,-8.1,-8.1
Odesa,1989,1.4,-5.1
Odesa,1990,0.2,-5.1
Odesa,1991,-1.2,-5.1
Odesa,1992,-1.9,-5.1
Odesa,1993,-3.2,-5.1
Odesa,1994,-4.7,-5.1
Odesa,1995,-6.1,-5.1
Odesa,1996,-6.1,-5.1
Odesa,1997,-5.8,-5.1
Odesa,1998,-5.8,-5.1
Odesa,1999,-6.4,-5.1
Odesa,2000,-7.2,-5.1
Odesa,2001,-7,-5.1
Odesa,2002,-7.2,-5.1
Odesa,2003,-7,-5.1
Odesa,2004,-6.4,-5.1
Odesa,2005,-6.7,-5.1
Odesa,2006,-5.8,-5.1
Odesa,2007,-5,-5.1
Odesa,2008,-3.9,-5.1
Odesa,2009,-2.9,-5.1
Odesa,2010,-3.1,-5.1
Odesa,2011,-1.9,-5.1
Odesa,2012,-1.4,-5.1
Odesa,2013,-1.9,-5.1
Odesa,2014,-2,-5.1
Odesa,2015,-2.9,-5.1
Odesa,2016,-3,-5.1
Odesa,2017,-3.4,-5.1
Odesa,2018,-4.4,-5.1
Odesa,2019,-5.1,-5.1
Poltava,1989,-1.3,-9.9
Poltava,1990,-2.5,-9.9
Poltava,1991,-3.4,-9.9
Poltava,1992,-4.9,-9.9
Poltava,1993,-6.7,-9.9
Poltava,1994,-7.6,-9.9
Poltava,1995,-8.1,-9.9
Poltava,1996,-8.3,-9.9
Poltava,1997,-9.1,-9.9
Poltava,1998,-8.4,-9.9
Poltava,1999,-9.9,-9.9
Poltava,2000,-10.9,-9.9
Poltava,2001,-11.1,-9.9
Poltava,2002,-11,-9.9
Poltava,2003,-11.2,-9.9
Poltava,2004,-10.9,-9.9
Poltava,2005,-11.2,-9.9
Poltava,2006,-9.3,-9.9
Poltava,2007,-9.8,-9.9
Poltava,2008,-8.7,-9.9
Poltava,2009,-8,-9.9
Poltava,2010,-8,-9.9
Poltava,2011,-6.8,-9.9
Poltava,2012,-6.6,-9.9
Poltava,2013,-6.8,-9.9
Poltava,2014,-7.1,-9.9
Poltava,2015,-7.7,-9.9
Poltava,2016,-8.4,-9.9
Poltava,2017,-8.7,-9.9
Poltava,2018,-9.6,-9.9
Poltava,2019,-9.9,-9.9
Rivne,1989,6.6,-1.6
Rivne,1990,5.2,-1.6
Rivne,1991,3.9,-1.6
Rivne,1992,3.5,-1.6
Rivne,1993,3.1,-1.6
Rivne,1994,2.1,-1.6
Rivne,1995,1,-1.6
Rivne,1996,0.4,-1.6
Rivne,1997,0.7,-1.6
Rivne,1998,0.4,-1.6
Rivne,1999,-0.7,-1.6
Rivne,2000,-1.3,-1.6
Rivne,2001,-1.6,-1.6
Rivne,2002,-1.8,-1.6
Rivne,2003,-1.7,-1.6
Rivne,2004,-1.1,-1.6
Rivne,2005,-1.7,-1.6
Rivne,2006,-0.3,-1.6
Rivne,2007,-0.3,-1.6
Rivne,2008,0.7,-1.6
Rivne,2009,1.8,-1.6
Rivne,2010,1.8,-1.6
Rivne,2011,3,-1.6
Rivne,2012,3.5,-1.6
Rivne,2013,2.5,-1.6
Rivne,2014,2.1,-1.6
Rivne,2015,1.2,-1.6
Rivne,2016,1,-1.6
Rivne,2017,-0.2,-1.6
Rivne,2018,-1,-1.6
Rivne,2019,-1.6,-1.6
Sumy,1989,-1.7,-10.2
Sumy,1990,-3.1,-10.2
Sumy,1991,-4,-10.2
Sumy,1992,-5.3,-10.2
Sumy,1993,-7.5,-10.2
Sumy,1994,-8.1,-10.2
Sumy,1995,-8.2,-10.2
Sumy,1996,-9.1,-10.2
Sumy,1997,-9.4,-10.2
Sumy,1998,-9.2,-10.2
Sumy,1999,-10.3,-10.2
Sumy,2000,-11.1,-10.2
Sumy,2001,-11.2,-10.2
Sumy,2002,-11.3,-10.2
Sumy,2003,-11.3,-10.2
Sumy,2004,-11.5,-10.2
Sumy,2005,-12.1,-10.2
Sumy,2006,-10.1,-10.2
Sumy,2007,-10.2,-10.2
Sumy,2008,-9.6,-10.2
Sumy,2009,-8.9,-10.2
Sumy,2010,-8.4,-10.2
Sumy,2011,-7.2,-10.2
Sumy,2012,-6.9,-10.2
Sumy,2013,-7.8,-10.2
Sumy,2014,-8,-10.2
Sumy,2015,-8.2,-10.2
Sumy,2016,-8.9,-10.2
Sumy,2017,-8.7,-10.2
Sumy,2018,-9.9,-10.2
Sumy,2019,-10.2,-10.2
Ternopil',1989,2,-6.6
Ternopil',1990,1.4,-6.6
Ternopil',1991,0.4,-6.6
Ternopil',1992,-0.1,-6.6
Ternopil',1993,-1.2,-6.6
Ternopil',1994,-1.7,-6.6
Ternopil',1995,-1.7,-6.6
Ternopil',1996,-2.4,-6.6
Ternopil',1997,-3.3,-6.6
Ternopil',1998,-3,-6.6
Ternopil',1999,-4.7,-6.6
Ternopil',2000,-4.4,-6.6
Ternopil',2001,-5.4,-6.6
Ternopil',2002,-5.2,-6.6
Ternopil',2003,-5.6,-6.6
Ternopil',2004,-4.5,-6.6
Ternopil',2005,-5.2,-6.6
Ternopil',2006,-4.4,-6.6
Ternopil',2007,-4.5,-6.6
Ternopil',2008,-3.5,-6.6
Ternopil',2009,-2.9,-6.6
Ternopil',2010,-3.5,-6.6
Ternopil',2011,-2.6,-6.6
Ternopil',2012,-2.5,-6.6
Ternopil',2013,-2.7,-6.6
Ternopil',2014,-3.3,-6.6
Ternopil',2015,-4.2,-6.6
Ternopil',2016,-4.7,-6.6
Ternopil',2017,-5.2,-6.6
Ternopil',2018,-6.2,-6.6
Ternopil',2019,-6.6,-6.6
Kharkiv,1989,-0.1,-8.4
Kharkiv,1990,-1.4,-8.4
Kharkiv,1991,-2.9,-8.4
Kharkiv,1992,-4.1,-8.4
Kharkiv,1993,-6.2,-8.4
Kharkiv,1994,-7.6,-8.4
Kharkiv,1995,-8.5,-8.4
Kharkiv,1996,-8.3,-8.4
Kharkiv,1997,-8.4,-8.4
Kharkiv,1998,-7.8,-8.4
Kharkiv,1999,-8.9,-8.4
Kharkiv,2000,-9.6,-8.4
Kharkiv,2001,-9,-8.4
Kharkiv,2002,-8.9,-8.4
Kharkiv,2003,-8.8,-8.4
Kharkiv,2004,-8.4,-8.4
Kharkiv,2005,-8.6,-8.4
Kharkiv,2006,-7.6,-8.4
Kharkiv,2007,-7.2,-8.4
Kharkiv,2008,-6.4,-8.4
Kharkiv,2009,-5.5,-8.4
Kharkiv,2010,-5.7,-8.4
Kharkiv,2011,-5,-8.4
Kharkiv,2012,-4.7,-8.4
Kharkiv,2013,-4.7,-8.4
Kharkiv,2014,-5.2,-8.4
Kharkiv,2015,-6.4,-8.4
Kharkiv,2016,-6.7,-8.4
Kharkiv,2017,-7.2,-8.4
Kharkiv,2018,-8.6,-8.4
Kharkiv,2019,-8.4,-8.4
Kherson,1989,3.7,-7.4
Kherson,1990,2.7,-7.4
Kherson,1991,1.5,-7.4
Kherson,1992,0.5,-7.4
Kherson,1993,-1.2,-7.4
Kherson,1994,-2.7,-7.4
Kherson,1995,-4.3,-7.4
Kherson,1996,-5,-7.4
Kherson,1997,-4.6,-7.4
Kherson,1998,-5.3,-7.4
Kherson,1999,-6.3,-7.4
Kherson,2000,-7,-7.4
Kherson,2001,-7.3,-7.4
Kherson,2002,-7.3,-7.4
Kherson,2003,-6.7,-7.4
Kherson,2004,-6.4,-7.4
Kherson,2005,-7.2,-7.4
Kherson,2006,-5.7,-7.4
Kherson,2007,-5.9,-7.4
Kherson,2008,-5,-7.4
Kherson,2009,-4.2,-7.4
Kherson,2010,-3.7,-7.4
Kherson,2011,-3.5,-7.4
Kherson,2012,-3,-7.4
Kherson,2013,-3.5,-7.4
Kherson,2014,-3.6,-7.4
Kherson,2015,-4.9,-7.4
Kherson,2016,-5.3,-7.4
Kherson,2017,-5.6,-7.4
Kherson,2018,-6.8,-7.4
Kherson,2019,-7.4,-7.4
Khmel'nyts'kyy,1989,0.2,-7.5
Khmel'nyts'kyy,1990,-0.6,-7.5
Khmel'nyts'kyy,1991,-1.7,-7.5
Khmel'nyts'kyy,1992,-2.2,-7.5
Khmel'nyts'kyy,1993,-3.6,-7.5
Khmel'nyts'kyy,1994,-4.4,-7.5
Khmel'nyts'kyy,1995,-4.8,-7.5
Khmel'nyts'kyy,1996,-5.3,-7.5
Khmel'nyts'kyy,1997,-6.2,-7.5
Khmel'nyts'kyy,1998,-6,-7.5
Khmel'nyts'kyy,1999,-6.5,-7.5
Khmel'nyts'kyy,2000,-7.1,-7.5
Khmel'nyts'kyy,2001,-7.7,-7.5
Khmel'nyts'kyy,2002,-7.7,-7.5
Khmel'nyts'kyy,2003,-7.9,-7.5
Khmel'nyts'kyy,2004,-7.4,-7.5
Khmel'nyts'kyy,2005,-8.4,-7.5
Khmel'nyts'kyy,2006,-7.3,-7.5
Khmel'nyts'kyy,2007,-6.9,-7.5
Khmel'nyts'kyy,2008,-6,-7.5
Khmel'nyts'kyy,2009,-5.3,-7.5
Khmel'nyts'kyy,2010,-4.9,-7.5
Khmel'nyts'kyy,2011,-4.3,-7.5
Khmel'nyts'kyy,2012,-4.2,-7.5
Khmel'nyts'kyy,2013,-4.6,-7.5
Khmel'nyts'kyy,2014,-4.4,-7.5
Khmel'nyts'kyy,2015,-5.2,-7.5
Khmel'nyts'kyy,2016,-5.6,-7.5
Khmel'nyts'kyy,2017,-6.3,-7.5
Khmel'nyts'kyy,2018,-7.1,-7.5
Khmel'nyts'kyy,2019,-7.5,-7.5
